Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
IDEX Corporation,IDEX Corporation,IEX,14569,0.0016,0,0,0
IDEXX Laboratories  Inc.,IDEXX Laboratories  Inc.,IDXX,39885,0.0016,0,0,0
Intercontinental Exchange Inc,Intercontinental Exchange Inc,ICE,61554,0.1529,0,0,0
International Business Machines Corp.,International Business Machines Corp.,IBM,111995,0.66,0,0,1
Hershey Co,Hershey Co,HSY,31086,0.2724,0,0,0
Henry Schein  Inc.,Henry Schein  Inc.,HSIC,10280,0.4091,0,0,0
L3harris Technologies Inc,L3harris Technologies Inc,LHX,38707,0.5770000000000001,0,0,0
United Parcel Service  Inc.,United Parcel Service  Inc.,UPS,142013,1.0,0,0,1
Ulta Beauty Inc,Ulta Beauty Inc,ULTA,14707,0.3131,0,0,0
Cooper Companies Inc,Cooper Companies Inc,COO,17258,0.0011,0,0,1
Cummins Inc.,Cummins Inc.,CMI,31597,0.6797,0,0,1
Chipotle Mexican Grill  Inc.,Chipotle Mexican Grill  Inc.,CMG,37486,0.7755,0,0,0
CME Group Inc,CME Group Inc,CME,64867,0.0178,0,0,0
Comcast Corporation,Comcast Corporation,CMCSA,231936,1.0,0,0,0
Clorox Co,Clorox Co,CLX,25877,0.2381,0,0,0
Charter Communications Inc,Charter Communications Inc,CHTR,133541,1.0,0,0,0
CH Robinson Worldwide Inc,CH Robinson Worldwide Inc,CHRW,12593,0.7004,0,0,0
Halliburton Company,Halliburton Company,HAL,17002,0.3789,0,0,0
W W Grainger Inc,W W Grainger Inc,GWW,21909,0.5916,0,0,0
Goldman Sachs Group Inc,Goldman Sachs Group Inc,GS,86482,0.9066,0,1,1
Garmin Ltd.,Garmin Ltd.,GRMN,22695,0.0027,0,0,1
Global Payments Inc,Global Payments Inc,GPN,57679,0.2035,0,0,1
Genuine Parts Company,Genuine Parts Company,GPC,13954,0.5236,0,0,0
Alphabet Inc,Alphabet Inc,GOOGL,1214578,1.0,1,1,1
General Motors Company,General Motors Company,GM,62241,0.8938,0,1,0
General Motors Company,General Motors Company,GM,62241,0.8938,0,0,0
Corning Incorporated,Corning Incorporated,GLW,32403,0.2674,0,0,0
Gilead Sciences  Inc.,Gilead Sciences  Inc.,GILD,75053,0.8003,0,1,0
General Electric Company,General Electric Company,GE,102469,0.8184,0,0,0
General Dynamics Corporation,General Dynamics Corporation,GD,42945,0.7212,0,0,1
Fortive Corp,Fortive Corp,FTV,23926,0.022000000000000002,0,0,0
Fortinet Inc,Fortinet Inc,FTNT,21883,0.0011,0,0,0
The Western Union Company,The Western Union Company,WU,8938,0.0416,1,0,0
West Pharmaceutical Services Inc.,West Pharmaceutical Services Inc.,WST,19798,0.0027,0,0,0
Walmart Inc,Walmart Inc,WMT,419526,1.0,0,1,1
Williams Companies Inc,Williams Companies Inc,WMB,27028,0.2151,0,0,0
Whirlpool Corporation,Whirlpool Corporation,WHR,11442,0.5428,0,0,1
United Rentals  Inc.,United Rentals  Inc.,URI,17155,0.2054,0,0,0
Hormel Foods Corp,Hormel Foods Corp,HRL,25584,0.38,0,0,0
HP Inc,HP Inc,HPQ,29415,0.9292,0,0,0
Hewlett Packard Enterprise Co,Hewlett Packard Enterprise Co,HPE,15868,0.5017,0,1,1
Honeywell International Inc.,Honeywell International Inc.,HON,147568,0.7435,1,0,1
Hologic  Inc.,Hologic  Inc.,HOLX,19924,0.0557,1,0,0
Home Depot Inc,Home Depot Inc,HD,285633,1.0,0,0,0
HCA Healthcare Inc,HCA Healthcare Inc,HCA,55733,1.0,0,0,0
Expedia Group Inc,Expedia Group Inc,EXPE,20163,0.1069,0,0,1
Expeditors International of Wshngtn Inc,Expeditors International of Wshngtn Inc,EXPD,14988,1.0,0,0,0
